Pack_Voltage,Pack_Current,Instant_Power,Cell_Max,Cell_Min,Pack_Temp,Thermal_Grad,Inverter_Temp,Ambient_Temp,Coolant_Flow,Iso_Resistance,Gas_PPM,SoP,Label_Safety
388.37,84.48,21.49,4.1,4.13,68.01,0.62,74.45,17.35,5.53,0.0,1.3,107.3,0
379.09,111.5,51.31,4.2,4.12,27.1,0.84,32.17,21.24,6.36,475.49,1.4,104.3,2
335.14,20.31,9.27,4.19,3.67,92.94,0.76,90.35,15.87,0.63,204.14,33.9,70.8,2
306.57,56.6,15.86,4.18,3.98,39.92,1.66,57.04,16.66,0.0,136.93,193.5,132.1,2
349.87,68.93,18.34,4.15,4.17,69.4,0.3,74.35,19.82,7.5,424.25,19.5,96.7,0
334.92,20.95,6.6,4.18,4.09,40.71,0.0,47.88,21.95,7.45,210.37,3.6,110.0,0
353.91,59.01,20.22,4.18,3.87,66.74,0.0,77.42,15.87,0.0,133.65,241.5,100.7,2
340.57,48.29,14.18,4.2,4.16,55.33,0.0,48.2,12.05,0.0,528.5,34.9,112.2,1
350.59,115.73,41.01,4.17,3.63,65.11,3.48,72.79,30.53,0.13,0.0,68.5,89.6,2
347.28,83.13,23.88,4.19,3.64,94.25,3.49,107.84,41.09,1.19,102.85,78.8,84.2,2
346.78,104.74,47.57,4.15,3.91,96.56,1.48,110.23,25.6,6.52,0.0,167.7,60.0,2
337.48,41.41,12.6,4.12,3.95,59.85,2.27,58.81,15.36,0.5,120.27,174.0,88.8,2
351.75,20.81,6.74,4.05,4.14,63.91,0.0,56.88,10.43,11.48,646.26,0.3,94.7,0
342.12,32.1,8.89,4.18,3.72,42.15,2.32,50.98,31.8,0.0,179.33,191.9,114.9,2
365.11,53.83,16.27,4.1,4.14,79.99,0.24,92.93,34.57,11.35,509.6,27.5,80.2,1
347.45,125.47,42.0,4.2,4.1,39.67,1.48,54.47,29.51,9.15,519.15,0.5,119.1,0
343.83,100.86,32.05,4.1,4.09,50.55,0.0,54.91,18.48,7.71,16.2,48.6,87.6,1
342.75,93.67,25.36,4.07,4.1,73.99,0.31,79.67,32.29,0.47,448.44,43.3,97.2,1
