SoC,Internal_Res,Cycle_Count,DoD,Cell_Imbalance,Coulombic_Eff,Pol_Voltage,Stress_Index,Label_Health
55.0,58.2,1696,81.12,0.0,100.0,0.17,1.9,1
22.2,72.4,1316,27.64,0.032,98.15,0.2,1.18,1
84.0,50.0,332,10.45,0.029,99.38,0.04,0.69,0
22.1,50.0,504,22.91,0.024,100.0,0.01,0.0,0
10.5,108.8,1109,16.12,0.022,96.92,0.1,1.64,1
36.9,117.8,1698,35.08,0.102,98.82,0.11,1.97,1
75.9,86.8,2320,64.01,0.086,98.6,0.15,2.94,1
100.0,54.3,783,62.95,0.079,97.85,0.09,1.08,1
19.1,71.2,1220,34.5,0.038,99.89,0.15,0.72,0
47.0,113.6,1318,81.1,0.1,98.86,0.22,1.52,1
31.8,57.0,491,11.36,0.104,98.54,0.14,0.67,0
31.8,105.6,1799,55.7,0.046,96.6,0.1,2.52,1
80.7,65.3,0,28.75,0.059,97.61,0.15,0.65,1
78.6,64.3,1980,19.72,0.077,100.0,0.17,1.79,1
20.3,50.0,458,21.05,0.025,98.68,0.01,0.07,0
13.5,79.5,2023,38.55,0.006,96.64,0.21,2.03,0
20.1,55.8,1150,38.25,0.0,97.6,0.18,1.15,1
92.8,73.9,954,88.43,0.04,97.76,0.1,0.81,1
46.9,76.8,1809,31.99,0.052,98.49,0.08,1.62,1
70.7,104.9,971,28.14,0.064,98.83,0.21,0.84,1
10.6,55.5,1095,21.56,0.012,99.48,0.23,0.38,1
99.2,68.2,1156,68.81,0.028,98.32,0.04,0.68,1
60.6,58.5,202,55.98,0.0,99.9,0.03,0.24,0
87.4,107.8,1416,45.4,0.064,98.9,0.2,1.48,1
39.4,68.2,2067,12.37,0.0,97.08,0.24,2.08,1
88.4,50.0,191,69.43,0.0,95.61,0.11,0.84,0
49.4,62.7,1561,47.9,0.159,97.7,0.09,1.46,1
69.2,67.9,2206,68.83,0.038,97.37,0.2,1.55,1
85.7,54.0,0,32.3,0.086,98.57,0.08,0.0,0
91.0,54.2,420,45.74,0.04,97.02,0.18,0.0,1
76.9,88.2,1362,67.45,0.0,96.99,0.1,0.99,1
42.7,90.4,1663,78.17,0.0,99.13,0.15,1.85,1
10.9,50.0,58,54.46,0.031,98.97,0.04,0.0,0
52.5,99.1,2110,83.02,0.114,98.23,0.1,2.55,0
17.5,50.0,883,55.02,0.028,98.81,0.1,0.17,0
83.2,50.0,499,43.97,0.021,98.63,0.04,0.08,0
25.3,50.0,789,36.67,0.002,99.18,0.0,1.31,0
29.1,59.7,322,39.84,0.067,97.43,0.23,0.46,1
74.2,87.9,2218,43.11,0.073,99.97,0.04,1.1,1
18.2,51.6,0,86.43,0.022,98.31,0.0,0.29,0
14.0,50.0,57,73.57,0.0,98.51,0.08,0.14,0
