Throttle_Spike,Brake_Usage,Energy_Consumption,Regen_Efficiency,Jerk,Label_Driver
63.6,45.6,186.3,0.03,3.09,1
8.2,3.7,140.9,0.23,0.71,0
19.5,8.3,151.7,0.26,0.63,0
49.5,51.7,216.3,0.07,3.37,1
24.0,16.2,148.9,0.32,0.36,0
48.0,72.3,275.6,0.19,3.56,1
9.6,12.3,124.2,0.3,0.18,0
20.5,6.0,208.8,0.29,0.32,0
21.0,15.4,169.8,0.24,0.78,0
9.9,15.3,156.8,0.27,0.35,0
12.6,6.9,134.1,0.2,0.46,0
13.5,15.4,157.1,0.24,0.64,0
13.1,9.1,148.4,0.27,1.14,0
34.6,38.3,206.9,0.04,2.28,1
10.8,10.3,173.7,0.38,0.38,0
62.0,27.7,254.1,0.17,3.21,1
24.7,9.7,123.0,0.24,0.53,0
17.6,8.4,130.1,0.22,0.32,0
18.4,14.7,163.9,0.15,0.84,0
19.9,0.0,113.7,0.22,0.16,0
8.4,7.4,143.4,0.21,0.73,0
18.3,16.3,163.8,0.25,1.16,1
21.6,14.0,182.2,0.23,0.43,1
21.6,2.2,153.8,0.24,0.58,0
16.4,3.5,138.6,0.36,0.54,0
73.7,34.6,238.3,0.0,2.36,1
19.5,13.9,154.4,0.25,0.46,0
17.7,8.7,152.3,0.3,0.5,0
14.3,11.1,92.3,0.22,0.71,0
16.9,14.5,172.5,0.31,0.51,0
75.5,43.1,232.1,0.07,2.02,1
33.7,40.1,213.0,0.01,2.63,1
21.4,6.3,143.4,0.24,0.15,0
74.2,73.8,167.5,0.19,2.79,1
8.8,8.5,154.6,0.19,0.45,0
8.0,9.3,132.4,0.28,0.48,0
33.7,42.6,191.2,0.14,4.26,0
13.1,15.0,131.8,0.23,0.28,0
18.8,16.0,164.7,0.2,0.41,0
17.5,10.8,141.6,0.22,0.28,0
9.7,11.7,162.2,0.31,0.5,1
55.2,39.7,172.4,0.04,2.16,1
6.6,7.5,114.3,0.27,0.51,0
11.5,6.7,100.0,0.26,0.38,0
59.9,39.3,213.1,0.03,2.4,1
10.1,18.0,124.7,0.28,0.43,0
40.2,49.6,170.7,0.15,1.67,1
56.7,31.4,161.7,0.15,3.31,1
14.4,14.4,143.5,0.24,0.55,0
15.5,12.3,135.4,0.24,0.52,0
70.9,31.2,280.4,0.07,2.13,1
12.3,11.1,151.0,0.29,0.24,0
83.7,26.2,226.0,0.07,0.79,1
12.0,9.2,147.2,0.25,0.29,0
51.6,38.9,186.4,0.14,1.75,1
17.2,11.1,109.4,0.26,0.61,0
12.7,9.6,147.2,0.29,0.64,1
69.6,54.9,219.2,0.11,3.06,1
47.4,61.6,220.0,0.06,3.01,1
53.2,23.7,211.6,0.08,4.06,1
12.0,12.0,129.9,0.25,0.58,0
19.6,18.7,121.4,0.2,0.43,0
59.5,36.9,257.4,0.16,2.7,1
13.3,9.2,152.7,0.25,0.77,0
17.7,9.8,183.5,0.35,0.5,0
66.6,63.9,267.4,0.08,2.99,1
12.9,11.3,143.4,0.19,0.47,0
18.1,13.0,157.8,0.35,0.51,0
68.3,46.0,220.5,0.05,4.56,1
40.1,60.2,239.6,0.17,2.27,1
57.2,28.2,281.7,0.11,1.04,1
16.6,16.4,129.7,0.31,0.47,0
21.5,9.4,157.5,0.22,0.69,0
25.6,7.0,136.7,0.28,0.7,0
9.9,1.7,137.8,0.26,0.3,0
12.8,12.3,130.5,0.31,0.43,0
10.4,8.2,175.2,0.27,0.73,0
13.6,8.6,115.1,0.22,0.65,0
24.2,10.2,133.4,0.25,0.43,0
14.6,12.8,119.3,0.34,0.6,0
55.6,7.8,280.6,0.2,1.35,1
8.6,7.6,130.8,0.24,0.6,0
13.0,12.4,187.3,0.22,0.49,0
13.2,5.2,125.4,0.31,0.11,0
18.6,9.7,137.8,0.28,0.1,0
57.1,42.2,253.3,0.06,1.88,1
71.3,47.4,193.7,0.14,1.38,1
21.2,11.6,144.8,0.26,0.41,0
16.5,17.0,140.5,0.29,0.7,0
15.3,5.7,104.1,0.21,0.64,0
19.7,15.5,170.6,0.25,0.81,0
53.8,17.9,220.5,0.09,2.87,1
77.6,42.3,234.1,0.04,2.02,1
64.4,32.6,217.7,0.13,2.56,1
17.3,16.1,164.7,0.28,0.15,0
62.1,40.7,221.9,0.14,2.64,0
8.6,8.1,133.3,0.27,0.41,0
7.9,9.2,135.7,0.36,0.75,0
44.3,39.2,205.4,0.11,3.32,1
57.9,45.3,275.5,0.12,3.26,1
11.3,2.5,126.3,0.26,0.56,0
17.7,7.8,166.0,0.33,0.53,1
11.6,2.6,153.0,0.17,0.71,0
14.9,17.5,161.5,0.21,0.72,0
18.3,16.7,109.3,0.34,0.61,0
17.7,10.8,164.6,0.19,0.63,0
67.0,12.3,194.2,0.14,2.45,1
67.9,60.4,233.3,0.1,1.77,1
16.2,0.0,128.1,0.28,0.77,0
70.4,24.7,202.0,0.12,1.5,1
13.0,8.8,139.2,0.24,0.84,0
11.4,16.3,176.2,0.24,0.27,0
49.7,44.2,200.2,0.13,1.69,1
73.7,49.9,188.5,0.02,2.1,1
16.0,16.6,156.9,0.29,0.44,0
11.5,15.4,134.8,0.19,0.57,0
27.9,3.8,128.5,0.28,0.06,0
78.9,23.1,225.8,0.14,3.98,1
14.6,8.7,149.8,0.28,0.35,1
9.3,15.4,147.6,0.25,0.71,0
51.9,26.8,197.1,0.17,2.52,1
8.6,3.4,143.5,0.28,0.89,0
11.3,18.9,130.5,0.16,0.62,0
45.4,6.4,216.1,0.08,2.56,1
14.2,10.5,129.2,0.19,0.56,0
11.5,0.0,124.5,0.32,0.38,0
48.8,54.0,171.1,0.12,3.42,1
8.6,10.9,180.4,0.27,0.3,0
6.7,7.7,159.0,0.19,0.57,0
82.1,58.6,245.5,0.08,1.51,1
79.9,57.3,300.6,0.15,1.35,1
10.6,8.7,142.4,0.23,0.81,0
14.1,13.9,141.3,0.28,0.46,1
68.7,59.0,168.0,0.1,3.75,1
61.0,22.9,187.1,0.14,1.23,1
23.1,8.5,128.6,0.31,0.64,0
13.7,11.8,158.5,0.17,0.61,0
