Speed_Avg,Brake_Frequency,Brake_Intensity,Throttle_Variance,Energy_Consumption,Range_Est,Label_Driver
93.6,0.0,100.0,49.88,0.193,98.0,2
37.6,11.0,28.4,31.48,0.036,136.0,0
30.1,11.7,33.9,25.13,0.177,97.8,0
87.4,2.2,83.5,67.42,0.217,199.8,2
21.1,23.8,27.9,26.52,0.258,221.4,0
90.3,0.0,3.9,3.12,0.185,133.6,1
27.7,16.3,23.7,27.65,0.252,182.7,0
49.0,22.5,33.1,30.76,0.138,214.5,0
42.2,10.0,23.7,23.57,0.25,145.3,0
19.8,13.5,40.9,7.24,0.204,172.0,0
42.2,19.8,13.2,11.28,0.196,277.6,0
38.2,7.2,2.4,20.14,0.035,182.2,0
62.6,2.4,39.4,40.46,0.114,178.2,0
81.4,7.2,8.4,13.54,0.253,147.6,1
31.6,13.1,41.8,20.36,0.188,166.5,2
67.4,8.7,20.4,10.95,0.14,148.7,1
49.7,12.8,67.6,31.88,0.149,175.0,0
72.4,0.0,28.2,8.35,0.172,143.9,1
68.6,3.2,17.0,1.03,0.134,51.0,1
32.8,2.0,17.8,19.88,0.113,218.3,1
40.5,17.3,23.8,8.85,0.09,187.0,0
43.6,25.0,42.9,17.05,0.177,186.5,0
0.0,18.2,36.8,11.81,0.151,164.5,0
38.0,24.4,43.8,22.56,0.151,126.1,0
53.4,4.6,26.0,10.47,0.24,126.1,0
85.1,4.6,8.3,7.77,0.123,163.9,1
26.7,15.8,50.4,13.71,0.086,187.9,0
35.7,16.1,36.8,34.6,0.145,105.5,0
48.3,25.9,26.4,17.89,0.197,124.9,0
54.8,13.6,33.1,16.66,0.106,160.9,0
99.1,1.1,94.2,68.52,0.212,164.4,2
50.9,2.6,0.0,3.79,0.178,165.8,1
51.5,9.6,21.3,4.99,0.173,210.4,1
43.5,4.8,0.0,2.59,0.236,137.7,1
12.7,11.6,40.6,9.1,0.216,96.0,0
48.8,13.5,6.7,36.59,0.104,151.1,0
